id,title,alt_title,type,num_of_ep,studio,year,rating
4736,Puella Magi Madoka Magica the Movie Part 3: Rebellion,Mahou Shoujo Madoka Magica Movie 3: Hangyaku no Monogatari,Movie,1,Shaft,2013,4.4
2149,Nodame Cantabile: Paris,No alternative title found,TV Series,11,J.C. Staff,2008,4.4
73,Trigun,No alternative title found,TV Series,26,MADHOUSE,1998,4.4
5421,Log Horizon,No alternative title found,TV Series,25,Satelight,2013,4.4
4446,Sekai-ichi Hatsukoi TV 2,No alternative title found,TV Series,12,Studio Deen,2011,4.4
422,Full Metal Panic? Fumoffu,No alternative title found,TV Series,12,Kyoto Animation,2003,4.4
582,Tokyo Godfathers,No alternative title found,Movie,1,MADHOUSE,2003,4.4
1663,Spice and Wolf,Ookami to Koushinryou,TV Series,13,IMAGIN,2008,4.4
3372,Redline,No alternative title found,Movie,1,MADHOUSE,2009,4.4
1818,Aria the Origination,No alternative title found,TV Series,13,Hal Film Maker,2008,4.4
6844,Beyond the Boundary Movie: I'll Be Here - Future,Kyoukai no Kanata Movie: I'll Be Here - Mirai-hen,Movie,1,Kyoto Animation,2015,4.4
6222,Initial D Final Stage,No alternative title found,TV Series,4,Synergy SP,2014,4.4
6705,Baby Steps 2,No alternative title found,TV Series,25,Studio Pierrot,2015,4.4
2878,Trigun: Badlands Rumble,No alternative title found,Movie,1,MADHOUSE,2010,4.4
7516,Magi: Sinbad no Bouken TV,Magi: Adventure of Sinbad TV,TV Series,13,Lay-duce,2016,4.4
9241,Megalo Box,No alternative title found,TV Series,13,TMS Entertainment,2018,4.4
812,Initial D Fourth Stage,No alternative title found,TV Series,24,A.C.G.T.,2004,4.4
1005,Black Lagoon,No alternative title found,TV Series,12,MADHOUSE,2006,4.4
6865,Gintama: Jump Festa 2014,No alternative title found,Other,1,Sunrise,2014,4.4
6751,Overlord,No alternative title found,TV Series,13,MADHOUSE,2015,4.4
7500,Working!!! Lord of the Takanashi,No alternative title found,TV Special Series,1,A-1 Pictures,2015,4.4
6108,Durarara!!x2 Shou,No alternative title found,TV Series,12,Shuka,2015,4.4
6435,Yowamushi Pedal: Grande Road,Yowapeda: Grande Road,TV Series,24,TMS Entertainment,2014,4.4
2150,Junjou Romantica 2,No alternative title found,TV Series,12,Studio Deen,2008,4.4
3133,Black Lagoon: Roberta's Blood Trail,No alternative title found,OVA,5,MADHOUSE,2010,4.4
9010,Wotakoi: Love is Hard for Otaku,Wotaku ni Koi ha Muzukashii,TV Series,11,A-1 Pictures,2018,4.4
1068,Welcome to the NHK!,NHK ni Youkoso!,TV Series,24,GONZO,2006,4.4
7483,March Comes in like a Lion,No alternative title found,TV Series,22,Shaft,2016,4.4
4681,Magical Girl Lyrical Nanoha The MOVIE 2nd A's,No alternative title found,Movie,1,Seven Arcs,2012,4.4
7011,ReLIFE,No alternative title found,Web,13,TMS Entertainment,2016,4.4
9674,Douluo Dalu,Soul Land,Web,26,No studio found,2018,4.4
8521,Quan Zhi Gao Shou,No alternative title found,TV Series,12,G.CMay Animation & Film,2017,4.4
1508,Detective Conan Movie 6: The Phantom of Baker Street,No alternative title found,Movie,1,TMS Entertainment,2002,4.4
851,Beck,Mongolian Chop Squad,TV Series,26,MADHOUSE,2004,4.4
