id,tags
437,Violence
437,Animal Abuse
437,Based on a Manga
2770,Action
2770,Comedy
2770,Sci Fi
2770,Hacking
2770,Original Work
2770,Social Media
2770,Virtual Reality
1880,Action
1880,Drama
1880,Original Work
1880,Orphans
1880,Samurai
1880,Swordplay
1880,Explicit Violence
1880,Physical Abuse
1017,Comedy
1017,Reverse Harem
1017,Shoujo
1017,Crossdressing
1017,Debt
1017,Hosts
1017,School Club
1017,School Life
1017,Social Gap
1017,Based on a Manga
6028,Shounen
6028,19th Century
6028,Animeism
6028,Butlers
6028,Circus
6028,Demons
6028,England
6028,Europe
6028,Master-Servant Relationship
6028,Supernatural
6028,Based on a Manga
7294,Shounen
7294,Sports
7294,Basketball
7294,Based on a Manga
7344,Action
7344,Adventure
7344,Drama
7344,Fantasy
7344,Seinen
7344,Cheats
7344,Dark Fantasy
7344,Magic
7344,Person in a Strange World
7344,Psychological
7344,Summoned Into Another World
7344,Thriller
7344,Time Travel
7344,Explicit Violence
7344,Based on a Light Novel
5434,Action
5434,Drama
5434,Seinen
5434,Historical
5434,Political
5434,Rebellions
5434,Royalty
5434,Swordplay
5434,War
5434,Based on a Manga
7825,Shounen
7825,Sports
7825,Basketball
7825,Based on a Manga
664,Mystery
664,Seinen
664,Conspiracy
664,Doctors
664,Europe
664,Germany
664,Medical
664,Noir
664,Psychopaths
664,Revenge
664,Serial Killers
664,Thriller
664,Mature Themes
664,Based on a Manga
5680,Comedy
5680,Shounen
5680,Slice of Life
5680,Agriculture
5680,Coming of Age
5680,Lifestyle Change
5680,noitaminA
5680,School Life
5680,Based on a Manga
236,Fantasy
236,Slice of Life
236,Contemporary Fantasy
236,Countryside
236,Family Friendly
236,Family Life
236,Japanese Mythology
236,Original Work
236,Siblings
6008,Drama
6008,Seinen
6008,Sports
6008,Coming of Age
6008,noitaminA
6008,Ping Pong
6008,Tournaments
6008,Based on a Manga
4901,Action
4901,Sci Fi
4901,Cyberpunk
4901,Dystopia
4901,Gunfights
4901,Noir
4901,noitaminA
4901,Original Work
4901,Police
4901,Psychopaths
4901,Serial Killers
4901,Explicit Violence
3635,Ecchi
3635,Psychological
3635,Supernatural
3635,Vampires
3635,Based on a Light Novel
2868,Action
2868,Mecha
2868,Sci Fi
2868,Combining Mecha
2868,Original Work
2868,Super Robot
7324,Drama
7324,Fantasy
7324,Romance
7324,Shoujo
7324,Adult Couples
7324,Mature Romance
7324,Medical
7324,Medieval
7324,Royalty
7324,Social Gap
7324,Based on a Manga
7923,Comedy
7923,Fantasy
7923,Romance
7923,Shoujo
7923,Japanese Mythology
7923,Master-Servant Relationship
7923,Based on a Manga
6068,Action
6068,Comedy
6068,Drama
6068,Sci Fi
6068,Shounen
6068,Aliens
6068,Crude
6068,Feudal Japan
6068,Parody
6068,Samurai
6068,Swordplay
6068,Based on a Manga
4767,Adventure
4767,Sci Fi
4767,Aliens
4767,Leijiverse
4767,Military
4767,Outer Space
4767,Political
4767,Space Opera
4767,War
1070,Comedy
1070,Josei
1070,Romance
1070,Adult Couples
1070,Classical Music
1070,College
1070,Mature Romance
1070,Music
1070,Music School
1070,noitaminA
1070,School Life
1070,Based on a Manga
7758,Fantasy
7758,Romance
7758,Shounen
7758,Age Gap
7758,Contemporary Fantasy
7758,Europe
7758,Library
7758,Loneliness
7758,Magic
7758,Orphans
7758,Based on a Manga
7793,Drama
7793,Sports
7793,Adult Couples
7793,Ice Skating
7793,Original Work
7793,Rivalries
7793,Tournaments
3309,Drama
3309,Sci Fi
3309,Androids
3309,Cafe
3309,Robots
2973,Drama
2973,Shounen
2973,Sports
2973,America
2973,Baseball
2973,Based on a Manga
7884,Comedy
7884,Shounen
7884,Slice of Life
7884,Breaking the Fourth Wall
7884,Gag
7884,Psychic Powers
7884,School Life
7884,Short Episodes
7884,Supernatural
7884,Superpowers
7884,Based on a Manga
143,Drama
143,Autobiographies
143,Historical
143,Lifestyle Change
143,Melancholy
143,Orphans
143,Poverty
143,Siblings
143,War
143,World War 2
646,Action
646,Adventure
646,Comedy
646,Drama
646,Episodic
646,Feudal Japan
646,Historical
646,Original Work
646,Samurai
646,Swordplay
646,Violence
646,Nudity
1377,Horror
1377,Conspiracy
1377,Countryside
1377,Psychological
1377,School Life
1377,Thriller
1377,Explicit Violence
1377,Based on a Visual Novel
2962,Drama
2962,Seinen
2962,Delinquents
2962,Melancholy
2962,Prison
2962,Sexual Content
2962,Violence
2962,Mature Themes
2962,Physical Abuse
2962,Sexual Abuse
2962,Based on a Manga
1683,Drama
1683,Shounen
1683,Sports
1683,Baseball
1683,Based on a Manga
7111,BL
7111,Drama
7111,Romance
7111,Shounen-ai
7111,All-Boys School
7111,LGBT Themes
7111,Opposites Attract
7111,School Life
7111,Based on a Manga
7048,Shounen
7048,Sports
7048,Baseball
7048,Tournaments
7048,Based on a Manga
3477,Fantasy
3477,Magical Girl
3477,Contemporary Fantasy
3477,Dark Fantasy
3477,Magic
3477,Melancholy
3477,Original Work
3477,Psychological
3477,School Life
3477,Thriller
3477,Transfer Students
3477,Urban Fantasy
3633,Comedy
3633,Seinen
3633,Slice of Life
3633,Iyashikei
3633,Music
3633,Based on a Manga
7624,Action
7624,Drama
7624,Mystery
7624,Shounen
7624,Age Transformation
7624,Amnesia
7624,Conspiracy
7624,Detectives
7624,Police
7624,Thriller
7624,Based on a Manga
8270,Drama
8270,Mystery
8270,Age Transformation
8270,Amusement Park
8270,Detectives
8270,Based on a Manga
1390,Drama
1390,Shounen
1390,Sports
1390,Baseball
1390,Coming of Age
1390,Based on a Manga
4751,Action
4751,Adventure
4751,Fantasy
