title,alt_title,type,num_of_ep,studio,year,rating,description,tags
Monogatari Series: Second Season,No alternative title found,TV Series,26,Shaft,2013,4.6,"The bee apparition is now gone, and summer vacation where the phoenix apparition averted harm is over-- Around Koyomi Araragi and the girls who started a new trimester, apparitions, or perhaps threats even worse, were creeping in ever closer. Tsubasa Hanekawa, Mayoi Hachikuji, Suruga Kanbaru, Nadeko Sengoku, Shinobu Oshino, and Hitagi Senjyogahara. Their soliloquies, confessions – and farewells.","['Comedy', 'Drama', 'Supernatural', 'Based on a Light Novel']"

The Disappearance of Haruhi Suzumiya,Suzumiya Haruhi no Shoushitsu,Movie,1,Kyoto Animation,2010,4.6,"Yesterday, Kyon was helping prepare for an SOS Brigade Christmas party. But today, he wakes up to a whole other world. Haruhi and the SOS Brigade are gone, Koizumi's class is missing, Asahina doesn't recognize him, Nagato is still a Literary Club member and even Ryoko Asakura has returned. As the only person who notices that everything has changed, Kyon is left to discover what happened to his friends and figure out if his life truly is better without aliens, time travelers and ESPers.","['Drama', 'Sci Fi', 'Psychological', 'Time Travel', 'Based on a Light Novel']"

Gintama: Porori-hen,Gintama: Slip Arc,TV Series,13,BN Pictures,2017,4.6,Sixth season of Gintama.,"['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Crude', 'Feudal Japan', 'Gag', 'Samurai', 'Slapstick', 'Swordplay', 'Based on a Manga']"

Princess Mononoke,Mononoke Hime,Movie,1,Studio Ghibli,1997,4.6,"With the rise of the Iron Age in feudal Japan, man and nature grow increasingly at odds. As mankind infringes more and more into the kingdom of the beasts, many of the elder animal gods begin to succumb to their rage, cursing themselves as they lash out at rural and urban settlements alike. When a young Ashitaka, hero of his village, is imparted with one of these curses after slaying a crazed god, he forces himself into exile to prevent further harm to his village. As he ventures out into the world, however, he discovers just how dire the straights have become - with man and beast ready to break into all out war, his curse becomes the least of his problems. As both sides teeter dangerously on the side of outright slaughter of one another, Ashitaka sets his own problems aside and, using his charisma and honor, seeks to quell the hatred before it gets beyond repair - but will he be in time or is he simply delaying the inevitable?","['Action', 'Adventure', 'Fantasy', 'Environmental', 'Feudal Japan', 'Forest', 'Japanese Mythology', 'Original Work', 'Royalty']"

ERASED,Boku dake ga Inai Machi,TV Series,12,A-1 Pictures,2016,4.5,"Satoru Fujinuma is a reclusive part-timer with no plans for the future. What sets him apart from the other slackers in his town is an involuntary time travel ability that allows him to jump back several seconds in time in order to prevent accidents and even deaths. As incidents around town begin reminding Satoru of a childhood trauma he'd sooner forget, he finally begins to question what caused his ability to surface and whether or not it's powerful enough to change the past.","['Drama', 'Mystery', 'Seinen', 'Age Transformation', 'Melancholy', 'noitaminA', 'Serial Killers', 'Supernatural', 'Time Travel', 'Animal Abuse', 'Mature Themes', 'Physical Abuse', 'Based on a Manga']"

